"SC";"PERSONAS";"MUNI";"EDAD_MEDIA";"ArtSurfA";"Service.area.popacc";"POPDEN.I.SD";"ARTSURF.I.SD";"ROADDEN.I.SD";"SERAREA.I.SD";"UI.N";"DI.N";"SMRe"
"0401303006";923;4013;37;100;0.025773489;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;2.12170822444201;1.4423342412632
"0401303007";1113;4013;34.8;100;0.026163282;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;1.88348547957459;1.34491152091824
"0401303008";947;4013;39.3;56.66249178;0.060241908;-0.235444789825542;-0.235444789825542;0.764555210174458;-0.235444789825542;-0.231233570022587;1.06607594504119;1.11849773151846
"0401303009";1128;4013;36.2;3.210137963;0.154087612;-1.23544478982554;-1.23544478982554;-0.235444789825542;-0.235444789825542;-1.04002751022698;0.64877327714734;1.1290209240772
"0401303010";1254;4013;30.8;1.047602411;0.026680084;-1.23544478982554;-1.23544478982554;-0.235444789825542;-0.235444789825542;-1.04002751022698;0.0686368994169023;1.3451745321725
"0401303011";1220;4013;37.9;96.64809574;0.059118765;0.764555210174458;0.764555210174458;0.764555210174458;0.764555210174458;0.502393647114482;0.99429947329907;1.06325235237151
"0401304001";871;4013;42.5;100;0.054127843;0.764555210174458;0.764555210174458;0.764555210174458;0.764555210174458;0.502393647114482;1.10141713561424;0.877339929897324
"0401304002";1275;4013;41.7;100;0.053711305;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.0796397350333961;0.797146104663444
"0401304003";1653;4013;42.3;100;0.040947011;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;-0.107718118728888;0.892720160663832
"0401304004";990;4013;42.1;100;0.034380565;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.555610430736015;0.927953161485528
"0401304005";686;4013;42.1;100;0.028248026;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.107425507528332;0.774399729829873
"0401304006";993;4013;41;100;0.033906816;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;1.12395953053584;0.867945769080925
"0401304007";854;4013;41.9;100;0.027821958;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;-0.352319618203248;0.899100145051124
"0401305001";670;4013;47.8;100;0.045816693;0.764555210174458;0.764555210174458;1.76455521017446;0.764555210174458;0.772993850156844;0.24358817868479;1.09692861290718
"0401305002";1411;4013;39.7;98.98050594;0.044881982;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;0.385592880759575;0.97508769982751
"0401305003";1506;4013;36.5;2.328617358;0.303297697;-1.23544478982554;-1.23544478982554;-0.235444789825542;-0.235444789825542;-1.04002751022698;1.5859960535534;1.09768726918024
"0401305004";1624;4013;32.6;100;0.04343154;1.76455521017446;0.764555210174458;1.76455521017446;0.764555210174458;1.06464073565806;1.6707777531349;1.07095926931676
