Census Tract;Bus stops;Health center;Hospitals;Universities;Bus stations;Faculty;Supermarkets;Open Markets;% of artificial surface;Road density;Total.Area
403102001;1;1;0;0;0;0;0;0;0,945042317;135,4910323;32459526,75
2906707015;0;0;0;0;0;0;0;0;100;38,92909393;30705,63
1102006025;0;0;0;0;0;0;0;0;83,40501338;38,45426737;104660,4907
1808703005;4;0;0;0;0;0;0;0;100;20,91719922;243916,7309
1103002003;0;0;0;0;0;0;0;0;98,63082267;38,83133884;154667,4881
4109901001;0;0;0;0;0;0;0;0;0,796945452;80,45117712;121915079,1
4100403007;0;0;0;0;0;0;0;0;100,0000005;23,97763312;45970,10775
1403805002;1;1;0;0;0;0;0;0;0,0795011;2302,006689;5615131,262
2905102007;1;1;0;0;0;0;0;0;31,252679;72,23678463;275734,4212
1400501004;0;0;0;0;0;0;0;0;90,73664752;34,097437;94829,09605
1402104003;0;0;0;0;0;1;0;0;100;26,51745051;84255,81845
2104102009;0;0;0;0;1;0;1;0;99,21646855;13,52839491;501590,8432
1805901002;16;3;0;0;0;0;0;0;9,857869223;41,7473768;19519833,22
4109102073;0;0;0;0;0;0;0;0;100;30,76135168;31030,18102
2907201001;1;0;0;0;0;0;0;0;45,47514608;34,75260645;892662,7878
2305902002;0;0;0;0;0;0;0;0;69,92805759;32,48558628;271010,686
4100502001;1;1;0;0;0;0;0;0;100;34,44262577;191323,9368
1101210011;0;0;0;0;0;0;0;0;99,93402087;16,80032757;14815,66349
1404902002;1;0;0;0;0;0;0;0;32,82716298;20,99069863;614132,6947
1102701007;2;0;0;0;0;0;0;0;89,83708952;29,70230568;209479,3355
1812202001;0;0;0;0;0;0;0;1;100;29,78260743;65281,24479
1405603002;0;1;0;0;0;0;0;0;100,0000012;32,8558328;77569,72159
2905402004;0;0;0;0;0;0;0;0;50,87540295;38,04165346;333487,9842
2906710024;0;0;0;0;0;0;0;0;100;27,70946375;33180,03049
2906708001;0;0;0;0;0;0;0;0;86,38490267;20,58869587;293313,5822
403801001;8;0;0;0;0;0;0;0;0,109325528;979,9514255;143536404,9
1811901001;8;3;0;0;0;0;0;0;0;0;20412324,69
4104401002;1;0;0;0;0;0;0;0;73,84041135;22,29756966;554555,489
1103301002;1;1;0;0;0;0;0;0;28,54711788;57,39563298;316744,4156
2908301001;2;0;0;0;0;0;0;0;0,521799235;558,948354;22750494,62
