Census Tract;Service area overall;Service area (pop-accounted);Total area;Portion overall;Portion pop-accounted
0402902003;26,67833993;0,714353275;27,11464169;98,3908998;2,634566532
0402902004;21,96645511;2,569480223;141,3371361;15,54188497;1,817979545
0403501003;0,060496162;0,060496163;0,202804391;29,82980881;29,82980949
0403502001;1,522899303;0,338655715;25,23214468;6,035552357;1,342159851
0403503001;1,800656771;0,220737597;54,22222734;3,320883076;0,407097988
0403504001;11,86610673;2,358651258;97,07812873;12,22325449;2,429642278
0403504002;0,57960856;0,126501417;86,80714293;0,667696851;0,145726967
0403801001;21,1237714;1,172732671;143,5364049;14,71666468;0,817028037
0403801002;0,006553428;0,006553428;0,801714646;0,817426513;0,81742651
0404101001;0,710739218;0,064515775;66,79324882;1,064088408;0,096590263
0404501001;0,064493267;0,062093554;0,162569832;39,67111645;38,19500407
0404502001;0,137594663;0,135309574;0,189731359;72,5207805;71,31639927
0404503001;3,327822842;0,736032947;133,5007742;2,492736737;0,551332343
0404701001;0,333450819;0,276716624;0,479435146;69,55076646;57,71721699
0404701002;7,65979419;1,456622062;87,12383291;8,791847115;1,671898508
0404801001;5,787113663;1,595819769;34,90748901;16,57843009;4,571568494
0405101001;0,069926715;0;19,00381995;0,367961365;0
0405201001;0,999181099;0,736432681;2,094378825;47,70775409;35,1623437
0405201002;1,52015593;0,851729632;13,02748677;11,66883495;6,53794279
0405201003;1,850801748;1,462540221;3,314456425;55,84027999;44,1260959
0405201004;1,643620753;1,183056226;2,474635564;66,41869926;47,80729102
0405301001;0,384960824;0,097745581;2,409701604;15,97545619;4,056335483
0405302001;0,411052595;0,187110691;2,423067659;16,96414019;7,72205802
0405302002;0,058595817;0,058595816;0,414288492;14,14372312;14,14372274
0405302003;0,973363977;0,355147597;6,816953465;14,2785774;5,209770003
0405303001;0,050149745;0,050149745;1,426832859;3,514759615;3,514759599
0405303002;0,176512992;0,150842148;2,08339005;8,472392989;7,240226006
0405303003;0,075620008;0,075620015;0,210752022;35,88103567;35,8810389
0405304001;2,44700038;0,063463236;85,86744599;2,849741659;0,073908377
0405305002;1,988740111;0,533993886;52,24663369;3,806446407;1,022063716
0405305003;0,792608157;0,215845191;50,34649552;1,574306511;0,428719396
0406001001;0,554067119;0,001498086;123,1224409;0,450013105;0,001216745
0406601002;1,73910634;0,04403478;46,32176775;3,754404083;0,095062824
0406601003;0,295349329;0,167660419;9,232423446;3,199044443;1,815995764
0406601004;0,256546313;0,162044177;4,911619883;5,22325259;3,299200281
0406601005;1,468228098;0,376522636;65,65213703;2,236375181;0,573511622
0406601006;0,34073344;0,259154394;6,157564158;5,533575155;4,208716097
0406601007;1,622104271;0,124496407;46,56973966;3,483172297;0,267333269
0406601008;0,472506942;0,354257267;4,469490548;10,57182999;7,92612185
0406603001;0,390299971;0,006583916;147,9690516;0,263771354;0,004449522
0407401001;1,045249641;0,712424571;2,090113396;50,00923123;34,08545068
0407801001;2,112384135;0,545835679;36,37693109;5,806933328;1,500499526
0407901003;9,87541E-05;9,87537E-05;0,128287695;0,076978585;0,076978274
0407901004;0,437823578;0,279658504;4,067226746;10,764671;6,875901479
0407901007;0,005544696;0,005544697;0,130365619;4,253189204;4,253189321
0407901008;0,668936086;0,303324529;3,768443212;17,75099288;8,049067255
0407901009;0,052611801;0,052611802;2,74519553;1,916504676;1,916504711
0407901012;0,403477809;0,385465953;0,796518228;50,65518846;48,39386462
0407902003;0,415182338;0,111276118;2,523583165;16,45209651;4,409449203
0407902004;0,181003651;0,181003651;0,461742718;39,20010948;39,20010945
0407902005;0,069369377;0,069369377;3,832154543;1,810192582;1,81019257
0407902007;0,136623529;0,106284676;0,211373441;64,63609059;50,28289073
0407902008;0,064706789;0,064706788;1,63599774;3,955188156;3,955188114
0407902010;0,21133601;0,017956329;3,12530048;6,762102111;0,574547268
0407902011;0,116637256;0,116637258;0,48233263;24,1819128;24,1819133
0407902012;0,000385731;0,000385732;0,742913514;0,051921453;0,051921549
0407902013;0,160796159;0,160796164;0,435225208;36,94550686;36,94550794
0407902014;0,019371114;0,019371115;0,264705598;7,317984143;7,317984616
0407902016;0,318513099;0,113107992;8,396096081;3,793585688;1,347149803
0408101001;1,398311919;0,059030295;34,84321716;4,013153872;0,169416889
0408602001;4,307515319;0,294651971;190,4119404;2,262208614;0,154744482
0408801001;0,220660367;0;116,6126422;0,189225081;0
0408802001;0,000820725;0;163,5596627;0,000501789;0
0409101001;0,299608146;0;15,70641471;1,907552753;0
0409301001;0,406881189;0,013393327;107,8934331;0,377113951;0,012413477
0410001001;0,095809888;0,074928153;0,351214229;27,27961469;21,33403103
0410002001;0,336066692;0,286692831;1,130054469;29,73898174;25,3698241
0410003001;0,022098472;0,00232506;1,1280697;1,958963326;0,206109629
0410003002;5,437605823;0,501578564;55,38594056;9,817664497;0,905606295
0410101001;0,194678503;0,186824145;0,26656572;73,03208509;70,08558555
0410101002;1,27239362;0,506997349;11,48004565;11,08352404;4,416335654
0410102001;0,407665075;0,147136953;8,858738367;4,601841231;1,660924464
0410201001;0,510829243;0,037140172;7,936588797;6,436382886;0,4679614
0410201002;0,059742929;0,034537409;0,339658553;17,58911379;10,16827301
0410201003;5,653616137;2,310567198;23,02060131;24,55894206;10,03695415
0410201004;7,281571537;0,851908493;8,903021695;81,78764229;9,568756792
0410201005;1,675540558;0,099874943;4,676742344;35,8270872;2,135566515
0410201006;0,916000739;0,772207835;2,696384447;33,97144426;28,63864002
0410201007;0,18613641;0,016374049;0,673293655;27,64565033;2,431932698
0410201008;1,758309385;1,35774903;2,247346986;78,23933715;60,41563843
0410201009;2,11576534;1,146269967;13,79681667;15,33517036;8,308220618
0490101001;0,992751896;0,036649001;85,28719369;1,164010508;0,042971282
0490201001;4,521730141;2,744659813;8,671813292;52,14284474;31,65035639
0490201002;2,6289783;1,632517459;3,396075167;77,41225298;48,0707104
